10236	27316
23160	84916
3594	7297
58	7791
1605	3915
335	51156
6616	8673
2033	2072
1738	4719
6208	9887
1022	91603
6170	6207
3491	3915
1756	284217
567	10475
1933	6152
3192	23350
1234	4544
29984	55843
5869	57403
6144	6175
3685	160364
6950	10376
5529	57551
553	6869
1639	24137
6748	28972
4867	27077
23149	51429
3560	8651
8351	8363
6170	6188
6138	9045
3181	9128
712	714
6136	6159
6188	6222
1956	5782
9833	64151
6133	6144
10885	27042
988	5985
4588	192134
1499	7534
7532	57521
160364	199675
3240	5005
7042	83706
5330	9002
6307	50814
5880	91614
3178	7536
6175	6193
6181	6204
5566	23332
1933	6144
55055	79172
6132	6171
6176	6204
3203	3204
641	116028
11345	81631
10539	57019
1398	1794
488	489
6154	6206
9604	22954
2197	6233
6208	9349
54069	79682
388	9938
84962	126374
643	64805
1495	1500
1937	6188
187	5473
3956	7076
9181	171177
4707	54539
3109	3127
9069	9076
6128	6193
3921	200916
64426	79595
7536	10772
6157	6189
6147	6232
1902	2767
22905	51429
2782	5082
11338	27316
1605	5879
1445	9564
7110	79571
991	5347
6147	6159
4985	10563
5901	729857
5698	6890
1129	5179
55970	126006
11339	54069
5688	5705
389	57449
1121	51715
566	4069
55832	115290
51143	151648
57647	84916
23332	146057
5368	64805
5929	8945
6429	9295
8334	8341
6426	27316
6124	6206
2788	27334
701	9133
5347	9918
25978	51652
6142	11224
8349	440689
5199	6709
6776	26228
1950	6678
9412	9442
51388	57647
6234	8666
6610	7132
1050	2322
3174	6927
23291	51122
10272	11098
23526	51816
6218	7311
6870	56923
79583	79867
51650	118487
891	6790
7204	8976
699	9824
3797	285643
5071	23352
5983	57804
11169	84296
1933	6224
3123	3127
6202	27340
10592	23310
6209	7178
6176	6205
8322	54874
6129	6159
26190	54165
8535	8841
6193	6231
6657	57167
7311	26523
8106	29894
2475	57521
26270	93611
988	10540
1816	104909134
8317	63967
4297	8085
5529	5711
6164	7311
1132	53637
832	83547
102	6233
886	2922
6208	6232
7846	203068
990	5717
3882	121391
64979	219927
1008	1013
2065	3691
388	389
6133	6218
3301	3312
2131	2132
58505	200185
6129	6204
813	6790
6181	6206
796	797
5819	201633
658	4093
813	11098
6233	151636
3685	3912
6434	8175
332	9493
6427	10189
3837	10575
6152	6170
2521	5094
1103	6572
10427	11196
6176	6208
5605	10256
695	7409
2935	6176
6130	6189
23627	137797
5879	7454
6146	6202
1439	3635
2099	6198
84231	90678
6206	6235
3635	3667
988	3066
5093	10594
9928	259266
6160	9349
2975	10621
4297	51230
6201	6218
9978	158506
197	3827
6500	55884
3663	4281
5439	6637
6173	6202
6160	6228
6136	6218
1476	8993
23304	26268
10749	11127
6152	6201
4641	11127
6137	6218
5558	84515
1660	3190
6144	6152
51088	55832
335	3698
1910	2147
6188	6202
6201	6234
6146	6234
6147	6165
57105	94233
10663	259293
4710	4718
1781	10112
5336	80271
988	55215
908	9628
1650	6836
1536	2204
10949	84991
7317	140459
55872	83540
4702	4710
3837	57122
1981	1982
6146	6228
6210	9349
440	2058
6159	6160
2268	4301
9789	10952
1058	9833
4717	55967
6147	6234
4508	4541
6147	6157
6752	10563
623	5737
7311	27327
23412	27252
6205	6224
972	3122
399	257106
6143	6222
6161	7311
1994	4670
2491	5529
3098	5236
6923	9978
3797	29127
4588	140453
86	8607
917	5296
7314	7334
1902	55970
4736	9045
6130	6205
983	9833
26263	92912
1577	29785
5516	55055
8463	25937
6125	6175
6232	54821
3190	3191
3912	10970
9793	57122
6218	9045
5878	11252
53829	57413
8337	8365
1660	1994
56929	79176
846	259295
10540	11190
11004	51512
4008	22954
8655	79023
5351	5352
112	3579
88	4620
6136	6202
988	29127
2837	84539
991	6232
6632	6637
338	4973
6138	6201
6143	6202
6189	6207
3920	55754
9126	23122
1981	25873
2033	25885
3881	112802
1453	8945
5694	5695
10193	53339
6204	6206
6205	6233
10250	23636
566	6036
1894	54443
2243	2266
127385	344892
6143	6176
4738	285231
1058	11004
6132	6224
3091	5594
1813	6364
3833	9793
3486	3491
3569	84141
83597	390174
116	94235
7536	27316
351	7184
4176	5982
81930	113130
3764	10060
10403	79682
51676	65264
1347	4726
6155	6201
3921	6147
695	8976
7846	10376
1954	23295
391	55843
6125	6139
522	539
3619	113130
4999	5000
4537	4539
9700	146909
6135	6137
3903	57153
6233	8976
6155	6235
6118	9557
9564	10458
3797	26146
1287	3688
108	7252
6155	6223
7337	10193
6193	6218
23059	26146
783	10368
56165	91646
164	55330
5592	8654
8655	27077
9493	54443
5590	6714
4702	27089
2837	5331
8451	55208
1576	2327
9787	9833
6206	6224
6133	6188
383	10394
3937	7305
932	10970
10575	10693
5529	51143
1668	728358
6130	6194
84131	347240
6133	6217
25929	57122
4712	7381
22974	81610
6168	6207
