7153	23397
55143	348995
5879	9181
6453	10552
4736	6210
6136	6160
6157	6173
5347	5518
1347	27089
10426	440145
84296	84515
5879	6249
1400	56896
5713	5715
1793	6714
5347	9793
64981	116541
5528	23047
945	100049587
6169	6189
5741	10266
3845	10971
9212	57405
11100	23524
3350	4988
10403	64151
1462	84141
830	1604
2935	6229
23160	25885
5518	29888
3394	6688
1314	10802
3949	5869
973	974
7454	10458
2157	27095
6164	6217
6128	6168
10133	10540
23112	84441
8723	51143
6169	6229
11258	11316
1062	1783
5529	54821
10576	10693
8945	140458
9738	10733
6142	9045
950	8976
3112	114876
4695	4725
3181	3189
4700	27089
29093	219927
3560	3718
3913	5829
5518	23399
5515	10776
6165	6167
6233	27340
4718	7384
29093	51023
3071	7454
51129	85441
10291	27316
6173	6233
86	1642
54820	146057
2863	55970
5880	94134
1287	3685
10663	259292
11137	51388
6125	6129
23049	25873
3191	4670
2242	9855
5985	83932
7337	54778
553	3062
6205	23521
846	2798
2059	5294
4849	29883
5869	5870
4666	6129
9320	26190
6136	6202
26589	116540
5528	11004
392188	645402
3017	126961
988	6950
3718	6777
6636	6637
945	3685
6164	6208
51264	65003
51	5195
5093	10236
3850	196374
383	3074
6202	6223
5566	5970
6233	7098
4088	57154
89910	154881
3267	10254
1605	375790
3912	5747
26146	28981
25897	27252
8349	8365
3267	22848
5706	5714
4588	140453
4543	4852
23327	79176
9793	151648
1994	7536
6157	6228
932	222487
23521	25873
689	6160
9793	203068
4700	4707
10540	22974
3240	10394
2197	6147
9793	79172
3685	3912
6159	6209
4174	4998
28998	118487
8290	29086
6175	6230
705	84946
7272	64151
8861	90780
6222	6227
6249	81930
6144	140801
6453	9322
3183	3190
6144	6202
3361	4283
10112	51014
6170	6208
9553	54998
3190	3192
595	6776
117177	121441
54474	286887
23291	64750
6285	6288
1350	440567
285	7010
2935	6164
1605	3913
1213	10254
6137	6155
120796	344892
2068	5424
6129	6204
6272	11319
55143	113130
10022	51289
1500	5880
4597	4598
905	79577
1956	10552
4924	10618
6135	6201
