29796	51079
8742	51330
11314	100049587
1294	2157
11190	57545
3853	196374
8500	55327
6136	6232
701	113130
6160	6171
11343	57552
1856	27130
6155	6204
6167	6207
2286	5479
6262	11069
6147	6230
6207	7178
7514	55746
4436	23028
4298	6830
5880	91614
9436	259197
5929	8085
4343	4853
23586	55601
6146	6156
3309	9531
6154	6210
4160	104909134
3797	150737
3673	3918
983	121441
9276	51014
4736	6152
5610	23118
10285	23451
6132	6135
6711	10466
4678	5984
4102	158511
9229	50944
9371	23095
6135	6142
7272	9787
4171	81620
9616	150726
9690	154881
7486	11073
3685	5829
4670	7536
4738	5695
4809	84844
5430	10236
4666	6129
222487	338339
6161	6204
701	9133
257313	387129
5903	7175
8467	25942
7783	11085
9491	200734
4540	51079
6137	6230
4116	6636
9295	84950
2769	5330
6125	6228
10025	23091
5290	5781
283111	344892
1991	4332
5515	6157
4725	9167
7337	10489
5795	9522
274	11252
7984	29984
6176	23521
8687	8689
7919	65109
4069	4332
6122	25873
27327	80012
60	1072
4736	6230
6165	6228
57545	80184
1111	7486
887	5020
966	11014
10236	79869
988	85313
932	222487
6135	6209
3543	7441
9934	27199
9700	23279
5290	5970
6144	6173
3107	5696
84154	84549
2932	5718
55125	55755
6152	6188
10681	51083
1991	5199
3491	11167
6635	51690
3609	5725
57191	400720
6173	6234
6135	6222
1069	10383
64976	64979
6202	55176
6229	23049
1050	7124
4734	22954
6232	9349
8717	9530
6167	6223
8886	84172
1981	6233
4538	91942
5338	11145
116	5746
6233	8976
5707	84962
6429	10250
10112	81930
5688	7979
1277	4060
108	6344
1589	3290
11339	79682
9493	11014
6128	6194
1956	10413
22984	55127
2064	5364
7311	114987
2197	6175
11100	23524
6776	26228
3693	7525
1933	6128
10394	56729
10133	10540
5753	6725
5725	9343
2033	27327
4952	6272
27340	55127
51264	51649
4691	8602
2348	11316
344	6382
6129	6204
10575	84617
80184	121441
8337	126961
10592	54892
1062	79172
6132	6176
1062	57551
332	2491
55127	65083
6144	6222
1133	7200
2675	220164
7317	10489
144699	154881
5594	84823
5707	5717
9730	10425
1665	3191
22984	23223
6235	9724
246	11283
4237	4239
6222	6230
226	6678
10713	51692
197	350
522	539
5880	257106
9126	57551
10885	54881
1129	6857
383	671
8349	653604
378	10959
6122	6136
999	1001
10425	84541
996	5699
472	7468
3664	23650
9877	23279
1915	6138
2207	7305
2811	2815
1290	5351
399	4983
23059	28981
3918	9459
51023	64976
932	338339
6128	6230
5868	23011
9632	22872
972	3127
6167	6233
990	996
5699	11059
5737	56923
4751	4867
6667	25896
6130	9349
10992	79869
9295	25957
10250	10285
8334	8969
5905	23225
6189	6207
6135	6203
1793	9844
23244	23332
9844	10787
6182	55052
383	3240
6130	6209
6181	11224
10952	11224
833	4677
1121	5869
1950	6678
6173	6175
4713	51079
3119	3127
3185	3190
6167	6188
9738	132320
3883	147183
183	51289
5777	10630
2695	594857
338	1080
7089	83439
1894	29127
127385	344892
5829	6709
1488	6934
3240	56729
79895	338339
57542	65264
8807	8809
1457	10592
57381	201176
1676	3836
9877	10250
10857	326624
6147	6176
3912	10272
4317	6947
22794	348995
9883	10898
26146	150737
5725	9128
3716	3977
285093	391211
6201	23049
846	51289
2197	23049
54778	140460
2792	10563
3675	5328
4593	57144
8365	440689
9564	10458
4736	140801
9833	51203
6373	10563
8021	79023
9126	9656
9611	9967
710	10747
4738	5688
335	336
29127	64837
2790	2837
816	4137
3054	23067
890	1062
9126	11130
25929	55706
64151	83540
9820	90293
64426	79595
6159	6233
8648	9439
5950	7276
1969	9564
6233	9341
6144	6189
1230	2833
6207	23521
2635	3659
6229	9349
9972	23279
4708	55967
6234	27340
6204	6230
3190	9716
6167	6234
2847	2911
302	3074
537	10159
6138	6205
783	27091
904	79577
3683	326624
111	51764
53339	197131
7289	9742
6189	6204
1022	55840
6628	22827
8349	79101
11202	25818
3433	23586
6237	10235
2064	6233
6141	6147
1994	10949
8775	10618
10613	11160
226	2597
4710	4725
695	974
25873	55176
9126	348995
885	4923
6629	10189
1781	81930
8976	25977
8914	11169
867	5290
2033	25885
6129	6139
26290	140453
3308	9631
10236	27316
102	3915
6142	6157
3190	5725
6206	6232
3376	6301
90293	143279
6772	6774
3880	4072
27043	57647
9188	84172
53905	405753
6164	6169
3156	3157
55143	348995
6207	11103
2197	6133
10121	57545
22954	23291
5707	8452
6210	6228
6500	55884
5501	79172
3094	57649
5439	80349
3491	51280
6146	6173
2197	6157
6144	6205
988	8539
