55165	259266
1387	8289
501	51166
3357	56923
991	1058
1284	8974
4738	5693
3676	3691
5001	222229
6202	6206
5718	51330
6233	55366
377	51014
25885	84172
5519	10274
8805	27044
8969	653604
4738	7979
6146	6208
6168	6175
3663	23321
6125	6228
1108	2033
10885	64434
1994	220988
6667	57508
6338	6340
4088	5054
10403	10592
5862	8548
2912	5179
1906	1956
8450	10401
23160	55759
3326	7415
9716	10713
5707	6386
2863	55970
10316	729230
6124	23521
5201	10693
7311	55669
6130	10399
4999	5558
6130	6138
117	2792
5795	9522
6176	6232
891	995
4763	7311
377630	401447
940	5879
338	3827
5438	51639
10071	50614
9833	11339
6232	27340
6189	6205
6160	6168
2207	3689
1445	1956
2790	55970
9879	23517
8290	29086
4702	4710
9371	79989
4540	4713
26155	117246
6136	6222
2204	199675
6157	6232
3350	84539
2912	5733
2848	3274
1308	3655
10193	80204
2242	5361
6152	6203
57154	154881
6128	6169
6455	7316
813	5954
3340	375790
9716	23350
6164	6173
1933	6201
4116	6632
2033	9739
6164	6203
834	114769
10885	27340
2817	375790
51069	64928
5228	7424
1029	5925
6224	23049
6125	9045
3921	6142
1536	3683
11127	64837
6605	11198
54881	55127
1069	9657
10236	10946
8322	22905
9636	10561
6427	6432
324	1857
6155	6201
8175	57794
6170	140801
6128	6230
7272	64151
9551	55967
2353	2354
5829	9564
156	7852
1230	55970
6204	6234
2034	3091
5433	23517
51116	92399
3683	3685
23160	134430
1453	6189
351	126006
4690	10096
6158	9349
3191	10949
8301	10097
55127	79954
1453	1855
344892	390077
5861	51715
3355	4543
6218	6229
11167	84141
6950	10376
64682	80204
885	2922
7337	10193
991	22974
6154	6202
4057	6709
4131	5048
6037	8635
6170	6230
685	1956
3833	24137
3673	3910
6189	6204
1660	3609
9793	84131
5707	8453
6218	9349
9585	51014
6202	9349
6137	6223
258	9210
9790	27340
10733	55142
10053	130340
56165	136991
6129	6194
6232	23049
6124	6222
8697	11059
3109	3111
2071	27125
8687	8688
51465	51676
4237	4239
10802	10960
4298	6830
2957	7702
4116	6635
6122	10399
6142	7178
1137	1141
6144	6228
1933	6205
1282	10536
2776	2788
7536	27316
9793	57787
6633	6635
5685	5688
1660	27316
2935	23049
6750	6754
5718	339745
6165	6230
10427	11196
81930	151246
3913	375790
983	9833
1241	1902
332	5347
6188	6206
2833	83756
1601	8027
3308	3326
3093	9320
5529	55055
378	51014
140453	192134
1063	55746
6147	6235
6135	6175
6160	11224
9039	10293
6643	58533
6430	7919
1291	1292
2960	9412
3799	10540
9462	153090
54716	153201
7311	84133
972	3122
79470	344892
23304	84085
6139	6218
7415	23526
6233	57674
4343	27327
51602	84365
3619	9972
6678	7424
8841	79685
3912	5747
10283	23398
2935	6164
6206	6224
3579	126006
4709	126328
3921	6189
3192	27316
891	54821
2521	3185
6155	6207
79501	285093
3190	10291
6154	7311
1933	6157
197	5005
5903	9126
5696	6890
871	1287
6233	8945
2788	2790
3267	26130
6128	6155
988	60682
5439	6923
3308	55706
5795	55754
10487	11344
5347	259266
6249	8826
10383	10693
2550	51083
23309	27327
6233	22848
3799	10112
10254	10552
9570	10802
3912	5829
6144	6227
9616	150726
6207	6235
351	29933
54778	197131
2537	3434
9493	9787
6201	25873
6207	6218
3305	9530
6136	6165
6168	6201
23521	51386
1308	3918
57381	85360
1116	1669
6155	6164
9564	10458
6161	6233
3945	4200
4738	285231
8638	10379
1830	5266
8074	29106
6170	6189
522	539
10112	51014
5708	7316
6167	6227
3836	3838
5529	7514
6601	9031
5707	64750
813	11098
4538	4540
10552	22905
11218	25929
5879	8976
7706	51426
5034	5479
513	374291
9276	10121
830	1604
2033	9967
5438	51755
800	3693
6193	6234
54821	81930
23028	283248
2912	4543
389	55843
1535	50507
22984	23160
332	991
6147	6156
1291	55214
29089	197342
4710	29796
377	10112
2197	6189
1511	6037
6209	140801
83540	259266
6175	6210
2801	9276
1237	27199
1969	5879
10112	10749
5345	7076
6175	6207
5438	85437
6223	27340
5331	222545
3683	57153
3852	3868
1500	4233
6637	83443
2246	5441
81567	93100
6122	6129
2932	5516
705	5822
23063	57082
1933	6222
3837	3838
4734	89910
6667	23248
3013	8351
1062	10112
2801	10802
5230	7167
4736	11224
963	8514
2222	4047
338	2243
5777	6850
6130	6228
302	5327
22894	54881
8945	55031
7532	57521
6235	7178
977	3655
23160	23560
2033	27327
6130	6188
1665	9128
6232	140801
1659	9716
6139	6229
6161	6227
10885	84172
1511	8635
9341	54874
2932	5529
27076	154064
9793	79172
1717	6307
2197	6165
3304	3320
6135	6164
6134	6228
4033	10970
142	5981
2348	11258
351	78991
29074	64928
4160	104909134
351	7852
2222	4597
54069	79682
79600	91147
84962	121441
24137	146909
79954	84128
830	10540
3956	7076
1660	10713
6189	6217
9887	23381
4701	10975
4512	4541
10388	25777
8976	10787
9730	10293
1981	6233
2475	9675
7314	10980
5739	94235
64951	64976
6142	6143
8365	653604
1314	26286
338	2153
3301	3320
2197	6139
10857	84329
1022	91603
377	29127
6233	9341
4208	6929
9156	55388
5707	203068
3313	5903
3718	6776
3576	6347
6141	6189
5928	9070
3115	3122
10425	63891
9927	10059
3122	4261
4736	6160
27043	57647
4536	4539
2811	2814
4700	4707
10112	83461
1942	2268
10051	10592
3301	10576
4736	6210
2792	5741
72	58498
10112	55165
5700	5706
6175	6201
6142	6155
25929	55706
6147	6206
6144	6188
6160	6222
8886	23160
6288	84432
6137	6167
79682	387103
25793	84676
6152	6168
1783	51014
4948	7299
623	2357
3675	3683
2597	7167
26268	56995
1994	27316
3054	25942
2770	55970
6049	8881
1991	3240
1329	4713
9126	55746
988	9793
1956	3084
9690	22954
6152	6204
4809	11325
3655	375790
6637	27258
3837	3839
2207	5335
2125	6699
3183	6428
7311	56288
3184	3190
11176	51742
8648	96764
399	1894
4541	25915
4736	23521
6125	6164
5725	10523
6165	6207
5594	10971
3673	3918
2792	219438
4297	6045
23279	55746
1738	4967
6122	6137
4717	4728
29984	171177
80740	171169
890	5516
10552	100423062
8829	10512
1048	171169
1894	9833
811	813
57405	348995
6158	6233
6218	6234
6147	6154
6189	23049
3105	3106
824	831
7057	83706
6173	6204
5747	23209
23327	29082
1495	4301
2633	117854
9410	22826
9212	83903
10412	10607
79895	338339
353139	353142
5048	5529
6160	9349
10949	23658
23322	79600
3354	9283
6122	7311
6124	6202
6133	6218
1069	10426
2521	5094
890	9833
54998	219927
3978	4172
81	7057
3797	57539
5298	8394
6156	6235
6137	7311
945	10857
6136	53918
983	79959
161	24137
3886	54474
174	3698
3685	5023
6233	8450
6222	6231
9883	11218
3673	3693
6154	6193
3921	11224
3688	3914
8131	64121
1778	3831
7272	10403
1088	170482
1793	8976
9636	23586
6142	6161
1639	1783
9126	57551
4538	4539
1237	2917
1991	5199
1994	10236
6173	7311
5701	11047
3015	8290
8816	79269
22974	29127
5829	6709
79685	94239
1282	5033
890	151648
3921	6208
9350	56963
1933	6144
6161	6203
9416	10949
25926	117246
9955	221914
892	9477
1277	1291
7272	9833
2695	7434
6144	6223
22974	259266
122042	196883
7536	9716
6134	6202
6159	6193
3579	729230
6202	55176
4927	50628
1287	55214
23304	56658
6157	6223
890	2237
6156	6207
988	203068
10413	25937
1000	3490
9752	56141
2150	2863
11103	56902
3048	4778
6132	6209
6442	6444
1557	1559
6223	25873
3091	8453
6124	6175
6633	11157
9318	11275
24137	81930
6159	6228
5880	9844
8826	128239
4035	5159
5707	54583
6224	6235
6165	6170
7110	10618
22954	57630
6135	6169
6224	25873
6167	6206
377	1783
1315	84516
5029	5724
7037	8871
1499	7409
6790	121441
4670	9128
6205	53918
10382	23332
6631	6636
5515	10776
4537	4539
1293	1305
6188	6222
6223	8562
7328	22954
7322	9867
4116	6636
6138	6193
9416	55660
567	3106
1969	9564
3190	10921
23291	197131
972	3127
57551	79172
102	5954
79023	129401
6515	144195
3688	5829
727	259287
5440	10302
6154	6189
50831	51289
8334	440689
890	29127
57154	151636
6182	55052
6144	11340
705	23160
6139	6224
6202	6230
142	56655
1933	6147
5529	57551
2197	6201
1933	9349
6422	7474
6157	6208
5878	8301
9055	10592
1495	5868
55143	151648
4710	4726
890	10733
5930	80204
348	5360
6165	6209
6203	9045
6147	6227
4700	4708
2790	7852
388	57522
1387	2033
6185	84061
5329	55754
899	9700
2131	2817
11190	54820
4736	6181
197	350
64151	83540
5518	6228
1933	6228
11137	51388
6429	9410
6154	6206
3909	3918
1347	4695
54885	152503
4540	51079
6207	6224
4323	4811
6154	6223
84366	360205
3921	9136
5439	51755
1610	4843
1327	29796
5194	7311
4736	6128
3683	10970
6155	6204
3320	84962
4584	50614
6169	6233
4141	8565
3192	23350
1783	2491
5516	51400
1435	4924
5610	6774
4599	4939
1665	4686
6207	23049
3718	50615
5726	6755
3565	5777
6142	6170
3921	6233
6157	7311
11196	126003
8349	121504
2491	7514
5980	56852
6161	51187
51203	64151
5594	8826
9493	259266
4361	10635
302	2799
274	9341
11222	57129
3908	10319
6206	6229
1902	7852
2916	4887
3827	4295
399	117289
9320	26046
2318	3688
1894	5347
5493	11187
2535	55970
2305	7153
6138	11224
5705	5718
399	5879
2207	2212
1816	4160
6130	6154
988	23595
3684	3687
891	5516
2886	5155
1933	6224
1398	1793
11102	84946
6125	6203
6168	6208
6168	6727
6125	6133
148	886
6170	6201
641	6118
4712	91942
6169	6201
3912	10272
521	4694
6139	6206
3001	5551
9801	28977
1453	6202
79711	84172
6133	9887
846	339403
6137	79707
1981	6228
2197	6173
10403	348995
1329	55967
116519	401138
56923	259287
567	3133
4535	4539
3105	3659
5515	5718
5977	8289
813	3569
6205	51187
55920	79023
3013	8363
728	846
3437	6772
1727	5707
1938	23521
991	55055
1022	5432
991	9493
8329	440689
1781	51014
6790	10112
186	4988
7096	10333
9793	10274
6159	6164
22919	54821
8698	59340
8881	29945
23160	55720
4666	6129
1991	10394
8365	8970
6194	6205
1639	29127
6143	6160
1933	6136
7031	7033
6170	6229
932	3685
3683	6518
6232	54821
6139	6176
7416	55669
6133	140801
6139	6207
9320	9870
10274	57082
983	10733
6210	27340
699	1062
4969	11081
3973	4160
4508	4514
6518	10857
163	8027
79583	79867
163	25977
6138	6170
6232	7178
6173	6188
6130	6223
4867	9657
2207	6556
51280	54972
55872	64151
6135	9349
5584	117583
10425	79876
4700	54539
6218	6224
3832	10121
11102	55127
8356	440689
1994	10594
11103	27340
80168	346606
2357	3352
11218	79084
2551	3054
6128	6206
9133	23397
6207	11224
6125	6222
6217	11103
2896	10493
3881	54474
4992	344892
5704	5718
389	94134
671	5657
186	2914
6208	6231
6125	6194
9320	9604
4670	4686
3688	3912
6137	6155
4620	8735
51226	553115
6633	6637
10484	81562
22905	51429
1111	2178
5179	283869
10427	10484
6709	6711
57521	389541
10574	22948
1173	9341
6130	6155
6159	6233
4297	23309
3561	3635
6156	6206
3833	9793
7311	9349
3113	3123
916	940
2997	6233
5571	60673
3491	5954
5976	6167
9322	23265
8542	84141
2832	117579
389	117289
10324	201456
6626	51593
10749	51014
1832	5493
1994	51692
3185	4670
891	9493
6233	8295
567	3107
10097	50618
1292	5351
3015	10284
4540	126328
1956	5336
1956	2268
1994	10250
3646	6156
2185	2268
11176	64426
6129	6233
891	2491
7283	22897
23028	23186
10075	54620
8085	23067
6385	10755
6228	11224
6143	6176
64979	118487
6181	6233
8453	84085
1062	5529
1129	4543
9787	9833
830	10652
3355	4889
6161	6230
1237	9934
10053	152503
90293	143279
121391	286887
2773	5594
3267	10254
9793	84902
1857	5699
6235	23049
5819	201633
6209	11224
6205	27340
5862	57403
1453	6229
55166	348995
2912	4889
8945	285231
1660	6625
51382	160364
2197	6142
4528	28973
6201	9045
50835	56923
1398	7525
7919	348995
6209	6230
6154	6229
963	1536
4695	4713
6129	6173
55832	154881
3107	5696
4709	9551
6173	23049
4697	4700
6231	6233
3127	4261
50506	405753
6175	6224
3040	3048
5699	11059
4726	55967
8453	9820
746	1603
1662	84365
23397	56992
7003	7004
3619	113130
5501	9700
6161	6231
2776	27334
